23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb
,,,,,,,,,0.93845348409179,0.0615465159082101,,,,,,,,,,,,,,,,,,
,0.1613179775364788,0.0690292378626018,,,,0.179713863897048,,,0.5483600473492884,,,,,,,,,,,,,,0.0415788733545827,,,,,
,0.2147359862128008,0.6008065776162508,,,,0.1324487996554457,,,,,,,,,,0.0387406947599869,,,,,,,,,,,,0.0132679417555155
,,0.7955585292592958,,,,0.2044414707407041,,,,,,,,,,,,,,,,,,,,,,
,,0.5366297315178045,,,,,,,0.4470949789496933,0.0162752895325022,,,,,,,,,,,,,,,,,,
,,0.8963116510851136,,,,,,,,,,,,,,,,,,,,,0.1036883489148864,,,,,
,,,,,,0.8582642616042517,,,,,,,,,,,0.1417357383957482,,,,,,,,,,,
,0.0440415104757963,0.9252757169571671,,,,0.0306827725670365,,,,,,,,,,,,,,,,,,,,,,
0.0529306370797795,0.0579183351156585,0.6030509088242095,,,,0.0449675678992093,,,0.210087384677936,0.0035019874366427,,,,,,0.0039085602528212,,0.0034949774370051,,,,,0.0149164467724224,,,,,0.0052231945043153
,,,0.5662417436484054,,0.4337582563515945,,,,,,,,,,,,,,,,,,,,,,,
,0.051248777659831,0.6467332862210692,,,,0.0186683953786572,,,0.2596104440050977,0.0037029927584631,,,,,,0.0026529700760465,,,,,,,0.0099177250441726,,,,,0.0074654088566622
,,0.9708454000877028,,,,,,,,,,,,,,,,,,,,,0.0291545999122973,,,,,
,,0.8303991209764162,,,,,,,,,,,,,,0.1040473109610488,,,,,,,0.0655535680625348,,,,,
,,0.8205376424230578,,,,0.0843322896969883,,,,,,,,,,,0.0362571432104631,,,,,,0.0588729246694907,,,,,
,,,,,,0.8739275369606648,,,,,,,,,,,0.1260724630393351,,,,,,,,,,,
,,0.6994779824798752,,,,0.2892135428245156,,,,,,,,,,,,,,,,,0.0113084746956092,,,,,
,,0.716307221238391,,,,0.0788402348364349,,,0.1390602692967655,0.0092005716646766,,,,,,0.0073710587177364,,,,,,,0.0453812434976671,,0.0012791817411862,,,0.0025602190071419
,,0.6244297082406464,,,,0.3755702917593536,,,,,,,,,,,,,,,,,,,,,,
,,0.812514674328058,,,,0.0835864433040833,,,0.0984872314623759,,,,,,,,,,,,,,0.0054116509054826,,,,,
,,0.9032889863558586,,,,0.0278802831853836,,,,,,,,,,0.0121152086286031,,,,,,,0.0567155218301545,,,,,
0.2223294628959852,,,0.5321229159424119,,,0.0832803384486258,0.0129861662812233,,0.1394986960555444,,,,,,,,,,,,,,,,,,,0.0097824203762092
,0.1727616100249468,0.1933294419594447,,,0.2436587555565316,0.0365221855226915,0.0070061127962704,,0.2654718105448738,0.006896022783968,,,0.0046461991106991,,,0.0515887702535275,,,,,,,0.0159189088522139,,0.0022001825948323,,,
,,,,,,,,0.1585283703273424,0.82005466518087,0.0214169644917876,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0331846066609849,0.9474804961416096,0.0193348971974054,,,,,,,,,,,,,,,,,,
