23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,6.552743430665684e-16,,,,4.545071147691556e-15,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,7.819862053561246e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,3.2257184317754257e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,1.0668446472789283e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,2.681072034474864e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,3.883754262420966e-16,,,,,,,,,,,,,,,,,,,,,256
3.743342835643536e-15,2.834520217459719e-15,7.15523742334371e-15,,,,5.004762641533101e-16,,,1.1785624212653113e-14,7.577609231609699e-16,,,,,,1.2208554965175086e-16,,,,,,,1.1125086061288204e-15,,4.836192579505254e-17,,,1.4603854135091828e-16,310445639
,7.477286986804527e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,2.4897176581324016e-15,,,,,,,,,,,,,,,,,,,,512
,,6.793289168759242e-15,,,,2.333948383939887e-16,,,3.324718350700674e-15,1.5933869479348253e-16,,,,,,,,,,,,,6.934700568196806e-17,,,,,,8390212
,,4.489862115339165e-16,,,,2.07300674831238e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,2.2030674626385764e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,7.710784294156017e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,,,,,,,4.213679179891227e-16,,,,,,,,,1048576
,,4.851495223447555e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,3.516433814548956e-16,,,,,,,,,,,,,,,,,,,,,256
,,6.134506760897801e-16,,,,,,,2.850681555613035e-15,,,,,,,,,,,,,,,,,,,,516
,,8.332607443061066e-16,,,,7.344027146625341e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,4.656527905320081e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.562200166849382e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,1.6606365842733238e-16,,,,,,,,,,,,,,,,,,2048
,,6.534171652784041e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,4.124225714870712e-15,3.945788059307546e-14,,,,1.878554859129244e-15,,,4.6946417823839256e-15,1.2954748228957817e-16,,,,,,2.2011596128180902e-16,,,,,,,4.967690668724247e-16,,5.879928194405423e-17,,,1.3062657186101716e-16,310445638
,,8.103048806791834e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.822064559173348e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,5.052751826203884e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1.6641929814844822e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,5.246809264797049e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,7.643932039619678e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,5.816898645191235e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,2.620186439902853e-15,,,,,,,,,,,,,,,,,,,,512
,,,6.259540719725231e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,1.490079095447842e-15,1.044830018416497e-14,,,,2.0062628096187682e-15,,,,1.7025058495233705e-16,,,,,,6.538262795225013e-16,,,,,,,1.4558603330615042e-15,,,,,6.424314808382915e-17,276890694
,,4.555251908227667e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.8326389005228667e-16,,,,,,,,,,,,,,,,,,,,,6.917455343001057e-17,,,,,,8388612
,,2.334509902473873e-15,,,,,,,,,,,,,,,,,,,,,6.365608829594587e-17,,,,,,8388612
,,2.5244644590763805e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,7.157645964836414e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,3.2138197638864553e-15,,,,,,,,,,,,,,,,,,,,512
2.730310420069128e-15,,1.6420611304017462e-15,3.0315265202024234e-14,,,3.3600893581464146e-15,2.597377002393456e-16,3.6082640350299695e-16,1.063097502221999e-14,1.5570140271307822e-16,2.338559266744381e-16,,,1.4521161964991423e-15,,,,,,,,,,,7.458578338150696e-17,,,8.113363852303958e-16,302010317
,,,5.930429566440078e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.3027171319456245e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,3.731043002206255e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,5.022881723331962e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,4.530742212743396e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,5.835766499077753e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,2.4527515790127524e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,1.5369169361214353e-14,,,,,,,,,,,,,,,,,,,,512
,,2.549621597591715e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,1.316259428598902e-16,,,,,,,,,,,,,,,,,,,1024
,,2.8137710466363654e-16,,,,2.2080824272258406e-16,,,,3.670111431655404e-16,,,,,,,,,,,,,,,9.513432764463521e-17,,,,33555524
,,,,,,,,,,1.477339844445241e-16,,,,,,,,,,,,,,,,,,,1024
,,,5.47520592088774e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.228560246449918e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,7.376383483004046e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,2.736452406641566e-15,4.156478781046331e-14,,,,1.4444708901730676e-15,,,5.316543243405462e-15,1.9865615707603327e-16,,,,,,1.8743916352564234e-16,,,,,,,2.8049515979805966e-15,,7.041083777685492e-17,,,1.0238562956971879e-16,310445638
,1.000880458498839e-15,1.4518088434304574e-14,,,5.888741969885553e-15,8.237368473222888e-16,,,4.7924931066203236e-15,,,,,,,1.1268189479895329e-14,,,,,,,8.673682219000933e-16,4.779741513352746e-16,6.436826541387638e-16,,,,58786406
,,1.573508079557373e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,5.8000466165913e-16,,,,,,,,,,,,,,,16384
,,,,,,,,3.105899579326156e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,,,,,,,,,,,5.80758041033864e-15,,,67108864
,,2.908110063385685e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.967858267359609e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.2184786950409404e-15,,,,2.2702743526460833e-15,,,,,,,,,,,,,,,,,,,,,,,68
,,8.472210895643098e-15,,,,1.6470843838754637e-15,,,,,,,,,,,,,,,,,,,,,,4.166521223367256e-16,268435524
,4.7730697403138445e-15,1.1039491524249489e-14,9.74732323235555e-15,,,4.995732863284653e-15,,,,,,,,,,,,,,,,,,,,,,,78
2.6632173265615537e-15,,1.3747670895793178e-15,6.9872718814385455e-15,,,6.4459542574882375e-15,,,4.242349493045291e-15,,,,,,,1.368243905888175e-16,,1.6487900786468518e-16,,,,,4.946996398489342e-16,,6.375702559065489e-17,,,1.0617404823571695e-16,310706765
,,,,,,,,3.1869262444564573e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,3.0248731312218673e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,4.720352072955516e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,1.956471405404901e-15,2.2511123238242793e-14,,,5.773989184901481e-15,1.3750911309442468e-15,,,5.899304314514591e-15,2.75732264048684e-16,,,,,,2.347405566052414e-16,,,,,,,3.257829846996101e-16,,,,,8.619875484662732e-17,276891238
,,,,4.667022703014857e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,4.3161103554882384e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,1.2345162950395098e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,8.345533411661022e-16,,,,,,,,,,,,,,,,,4096
,,5.517196198157174e-15,,,,1.7434793282225672e-15,,,,,,,,,,,,,,,,,,,,,,,68
,,1.1084163656462607e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,6.827932098927999e-15,2.8200603312651993e-16,,,,6.155975696358365e-16,,,1.541483338241569e-14,2.357219676583879e-16,,,,,,,,,,,,,,,,,,,1606
3.3695383559691573e-15,6.344435547687638e-15,9.513399868676101e-15,,,,1.264574661893635e-15,,,8.719445748456365e-14,3.8537082253273165e-16,,,5.573456991393954e-16,,,1.357960974390917e-16,,,,,,,1.9799612928497132e-16,,,,,,8463943
,,2.81691568895078e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.2206798688560747e-15,,,,2.257200698944754e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,4.667073320910469e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,6.287611810443114e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.292198094118212e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.215081974667051e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.412091693922784e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.257274087639619e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.519575645257118e-14,,,,3.721543815194208e-16,,,,,,,,,,,,,,,,,,,,,,1.4035591681116584e-16,268435524
,,,6.122677266305274e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.489157961975825e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.398264341671056e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.714063036233999e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.492234353074874e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.218332906000578e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.2233885953939825e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.309342487967881e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
2.1795568905859497e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,4.228857561292125e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1.7430829310860528e-15,,,5.6192171555521375e-15,,,,,,,,,,,,,,,,,,,,,,,,,,9
,,,5.438359999205586e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,1.0670191549664755e-15,5.3377614605328165e-14,,,,,,,,,,,,,,,,,,,,,7.29684960445002e-17,,,,,,8388614
,,,,,,1.9778397422573976e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,5.393726713913023e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.7288248363355255e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,2.5401876706484614e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.188604567785658e-15,,,,7.779953010685781e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,4.03074534816704e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,6.010920110579968e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.4719363096799338e-15,,,,7.003268165280881e-16,,,,,,,,,,,9.495516597190019e-17,,,,,,,,,,,,131140
,,4.9621680678102115e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,7.281965523150252e-15,,,,1.5113947234820374e-15,,,,,,,,,,,,,,,,,,,,,,,68
,,,5.212172592109716e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
1.8905401961224565e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,9.065307838904277e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.1241395266817061e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.501278993476601e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,6.3525850104529744e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.0060389614210425e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,3.2733542532100786e-16,,,,,,,,,,,,,,,,,,,,,256
,,1.4348295809064512e-15,,,,6.134486097881746e-16,,,8.519554299529841e-15,5.157679907761353e-15,,,,,,,,,,,,,1.131497876076919e-16,,5.55376068370531e-17,,,,41944644
,,,,,,,,3.2652518037230683e-16,,,,,,,,,,,,,,,,,,,,,256
,,2.7194320298870456e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,5.669100709096858e-16,,,,,,,9.750310657905642e-15,1.3820772074823624e-16,,,,,,,,,,,,,,,,,,,1540
,,5.046462541575029e-16,,,,3.537349617883858e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,4.766590133641483e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.718784435246063e-15,,,,2.2848298655430035e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,2.4584272231568144e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,7.29077102699698e-15,,,,2.9847675193087617e-16,,,,,,,,,,,,,,,,,1.2867046256956518e-16,,,,,,8388676
,,3.4238303922173142e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.2838870530342635e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,7.162802523563457e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,4.0433239174247124e-16,,,,1.9686301433969725e-16,,,5.728664269452713e-14,2.0523793496437964e-16,,,,,,,,,,,,,,,,,,,1604
1.8278709532720153e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,6.159663899413155e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.4096667779834816e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,5.711220263308648e-16,,,,,,,,,,,,,,,16384
,9.01672322168176e-16,2.080987563746429e-14,,,,1.2550580229576307e-15,,,,,,,,,,1.6390271259947819e-16,1.339223904076553e-16,,,,,,1.8626940386616317e-16,3.0950072280214504e-17,,,,,25362502
