23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,4.4657627951212e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,6.184535585303823e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.665558130420657e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,2.495711612202426e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5.695936508491209e-15,,3.0357187180318624e-15,,,,,,,,1.6320457062473567e-16,,,,,,,,,,,,,,,,,,,1029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.203945064388401e-17,268435456
,,8.690644590127645e-16,,,,,,,,4.496851625270647e-16,,,,,,,,,,,,,,,,,,,1028
,,2.7598610612470767e-16,,,,,,,,1.2423351843723692e-16,,,,,,,,,,,,,,,,,,,1028
,,1.2957915872246266e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.8793572165117367e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.9866680634078613e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5521244629593514e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5194063803721821e-16,268435456
,,3.027154899922955e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.4440199491585454e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2042788056871525e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.859543430374834e-17,268435456
,,1.0731513156570042e-15,,,,5.960930375450282e-16,,,,,,,,,,,,,,,,,,,,,,1.2731591324898676e-16,268435524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7785685079196965e-16,268435456
,,,,,,,,,,6.795277734766012e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,1.269889509799878e-14,,,,,,,,,,,,,,,,,,8.082169611639837e-17,268436480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2783251673778022e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.023134535159452e-17,268435456
,,3.8101693201136534e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,9.52543859150739e-15,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,,,1.0397269048854225e-16,,,,,,,4.9286081759519156e-17,1.041520281228096e-16,2.237342368987639e-16,,,,58785792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.114734408517575e-16,268435456
,,2.2275473109357426e-15,,,,2.1757419518294884e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,4.397954750394006e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0071088892402247e-16,268435456
,,2.8227536548522274e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,1.4920541450881684e-16,,,,,,,,,,,,131072
,,,,,,6.160474109759671e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4686071064923642e-16,268435456
,,7.873039104478342e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.554962982283501e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,4.562259664784973e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,3.483127277463851e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,3.009303823664037e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8.495451710825887e-17,268435460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.160894773655603e-17,268435456
,,,,,4.7839405525409384e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665777092124166e-16,268435456
,,2.8164643702233935e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2.1694914936611896e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,2.4736991160015103e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.855838130587052e-17,268435456
,,9.567998027067685e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.3501937729224461e-15,,,,8.119071083987915e-16,,,,,,,,,,,,,,,,,,,,,,2.2977539763840244e-16,268435524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.316209423222661e-16,268435456
1.833288559697077e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.884138274268982e-17,268435456
,,2.586905986637332e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.961628797588017e-17,268435456
,,,5.707924783627609e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.3882280436726e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.414148463967602e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.692819462125097e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,7.196686036437882e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,7.346219198108323e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.451226308974925e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,8.249053665836974e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.567578475549052e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.425136907513413e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.445651362465095e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.185000627435314e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.2825769868531236e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.560135828820594e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.865773293198706e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0869974931248511e-14,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.3732078522663665e-14,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.1199900207134011e-14,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.465468851960116e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.409905701693492e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.746688256926419e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.41118803453118e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.200459392993593e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,8.182943955153749e-16,,,,,,,,,,,,,,,,,4096
,,,5.684737233030769e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,2.838476866424314e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.823867867243067e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.815257809096517e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4246958791297835e-16,268435456
,,3.1812421206461974e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.640626372960484e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.686107628746918e-17,268435456
,,,,,,,,,,,,,2.10993384990164e-16,,,,,,,,,,,,,,,,8192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3718003380746796e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.858308099829301e-17,268435456
,,,,,,,,,,,,7.919976588524858e-16,,,,,,,,,,,,,,,,,4096
,,2.4202401966564205e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34170599473334e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392131013067182e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5633176077347484e-16,268435456
,9.013069391445348e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,6.0566507439658595e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,9.829002581114698e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.885373604814502e-17,268435456
,,2.9108033869727133e-16,,,,,,,,,,,,,,,1.5937827821538054e-16,,,,,,,,,,,,131076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.100696693029533e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.625837221721001e-17,268435456
,,,,,,,,2.91611726519097e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.739003308171789e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.919813837400737e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.805413112253219e-17,268435456
,,5.95166644061742e-16,,,,,,,,,,,,,,,,,,,,,,,,,,7.126454541069369e-17,268435460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1706996481004508e-16,268435456
,,2.4548312621150085e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.169504831802168e-17,268435456
,,2.5177238557201553e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.6895000974767055e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
